client_id,client_name,status,start_date,tier
C02145,Zenith Supply,INACTIVE,2023-06-07,gold
C03366,Umbrella Industries,ACTIVE,2021-11-15,gold
C08929,Nimbus Industries,INACTIVE,2021-09-28,bronze
C09581,Wonka Supply,ACTIVE,2019-01-27,
C10456,Blue Partners,INACTIVE,2023-11-03,bronze
C11386,Vector Llc,INACTIVE,2023-10-11,silver
C14175,Wayne Group,ACTIVE,2020-05-31,silver
C14637,Hooli Supply,INACTIVE,2019-02-03,bronze
C15499,Zenith Holdings,ACTIVE,2020-05-17,bronze
C15978,Vector Freight,INACTIVE,2023-01-08,gold
C16180,Blue Enterprises,ACTIVE,2023-05-10,bronze
C16655,Hooli Co,ACTIVE,2021-05-06,silver
C17172,Apex Freight,INACTIVE,2023-07-11,gold
C17754,Vector Co,ACTIVE,2022-06-20,
C20405,Initech Supply,ACTIVE,2022-11-01,bronze
C21531,Green Llc,ACTIVE,2021-04-07,gold
C22659,Tyrell Partners,ACTIVE,2019-12-15,gold
C24911,Quantum Freight,ACTIVE,2019-12-28,gold
C25055,Stark Partners,ACTIVE,2021-01-14,gold
C28306,Tyrell Llc,ACTIVE,2021-05-23,bronze
C29210,Massive Group,ACTIVE,2023-04-24,bronze
C33266,Hooli Enterprises,ACTIVE,2023-10-01,
C34523,Stark Enterprises,ACTIVE,2019-09-26,bronze
C35443,Nimbus Group,ACTIVE,2021-08-19,silver
C43677,Apex Group,INACTIVE,2019-05-24,gold
C47375,Vertex Partners,INACTIVE,2023-03-15,
C49018,Green Freight,ACTIVE,2019-10-18,silver
C51553,Hooli Logistics,ACTIVE,2019-10-16,silver
C56067,Hooli Logistics,INACTIVE,2023-08-12,
C57382,Vector Logistics,INACTIVE,2021-03-22,bronze
C60889,Wonka Llc,INACTIVE,2021-09-20,gold
C63096,Initech Freight,ACTIVE,2019-08-16,
C63250,Vertex Supply,ACTIVE,2020-08-24,bronze
C64279,Green Logistics,ACTIVE,2022-11-06,silver
C70464,Hooli Supply,INACTIVE,2019-09-30,silver
C72495,Umbrella Enterprises,ACTIVE,2023-03-17,bronze
C73720,Massive Llc,ACTIVE,2022-07-18,gold
C77577,Zenith Holdings,,2020-07-16,
C77726,Nimbus Holdings,ACTIVE,2021-09-25,bronze
C78191,Quantum Enterprises,ACTIVE,2023-05-26,gold
C80551,Vertex Partners,ACTIVE,2022-11-02,
C81739,Massive Partners,INACTIVE,2021-10-01,silver
C82971,Massive Co,ACTIVE,2021-01-19,gold
C83350,Stark Group,ACTIVE,2022-04-27,
C83948,Wayne Holdings,ACTIVE,2019-01-03,silver
C84879,Umbrella Partners,INACTIVE,2020-08-23,silver
C86029,Acme Industries,INACTIVE,2020-12-02,bronze
C86178,Massive Co,ACTIVE,2020-06-17,gold
C87356,Zenith Logistics,ACTIVE,2022-12-22,
C91097,Tyrell Freight,INACTIVE,2021-12-26,gold
C92842,Tyrell Industries,INACTIVE,2021-10-08,bronze
C93089,Blue Supply,INACTIVE,2022-06-27,gold
C94736,Red Logistics,INACTIVE,2022-02-25,bronze
C94929,Green Co,ACTIVE,2021-11-27,bronze
C97125,Blue Industries,ACTIVE,2021-09-14,bronze
C97785,Massive Supply,INACTIVE,2019-01-05,silver
C98399,Wayne Group,INACTIVE,2023-02-16,bronze
C98672,Stark Freight,ACTIVE,2019-04-22,silver
C99808,Blue Co,ACTIVE,2022-06-15,
C99892,Wayne Freight,INACTIVE,2019-11-17,silver
